transaction_id,transaction_date,account_id,amount,merchant,category
100081,2025-12-23,ACC1001,-35.00,Uber,Transport
100082,2025-12-23,ACC1002,1700.00,Acme Corp,Salary
100083,2025-12-23,ACC1003,-55.25,Starbucks,Coffee
100084,2025-12-23,ACC1004,-140.00,Amazon,Shopping
100085,2025-12-23,ACC1005,-80.00,Shell,Utilities
100086,2025-12-23,ACC1006,300.00,PayPal,Transfer
100087,2025-12-23,ACC1007,-19.99,Netflix,Entertainment
100088,2025-12-23,ACC1008,-100.00,Apple Store,Electronics
100089,2025-12-23,ACC1009,-34.10,Whole Foods,Groceries
100090,2025-12-23,ACC1010,-12.50,McDonald's,Food
100091,2025-12-23,ACC1011,-75.00,Best Buy,Electronics
100092,2025-12-23,ACC1012,400.00,Venmo,Transfer
100093,2025-12-23,ACC1013,-15.75,Spotify,Entertainment
100094,2025-12-23,ACC1014,-130.00,Target,Shopping
100095,2025-12-23,ACC1015,-65.00,Uber Eats,Food
100096,2025-12-23,ACC1016,-90.00,PG&E,Utilities
100097,2025-12-23,ACC1017,1400.00,Globex Corp,Salary
100098,2025-12-23,ACC1018,-45.00,Subway,Food
100099,2025-12-23,ACC1019,-110.00,Home Depot,Shopping
100100,2025-12-23,ACC1020,-14.99,Hulu,Entertainment
100101,2025-12-23,ACC1021,-95.00,Chevron,Utilities
100102,2025-12-23,ACC1022,700.00,PayPal,Transfer
100103,2025-12-23,ACC1023,-28.50,Domino's,Food
100104,2025-12-23,ACC1024,-80.00,Costco,Groceries
100105,2025-12-23,ACC1025,-45.00,Lyft,Transport
100106,2025-12-23,ACC1026,-130.00,Apple Store,Electronics
100107,2025-12-23,ACC1027,-22.00,Starbucks,Coffee
100108,2025-12-23,ACC1028,350.00,Venmo,Transfer
100109,2025-12-23,ACC1029,-60.00,Amazon,Shopping
100110,2025-12-23,ACC1030,-85.00,PG&E,Utilities
100111,2025-12-23,ACC1031,-17.99,Disney+,Entertainment
100112,2025-12-23,ACC1032,-47.00,Uber,Transport
100113,2025-12-23,ACC1033,-100.00,Target,Shopping
100114,2025-12-23,ACC1034,2000.00,Initech,Salary
100115,2025-12-23,ACC1035,-25.50,Panera Bread,Food
100116,2025-12-23,ACC1036,-85.00,Costco,Groceries
100117,2025-12-23,ACC1037,-16.00,Spotify,Entertainment
100118,2025-12-23,ACC1038,-105.00,Shell,Utilities
100119,2025-12-23,ACC1039,500.00,PayPal,Transfer
100120,2025-12-23,ACC1040,-70.00,Whole Foods,Groceries
