txn_id,customer_id,transaction_date,amount,currency
T02000,14,2025-11-04,447.18,ILS
T02001,20,2025-11-04,231.19,USD
T02002,15,2025-11-04,126.55,EUR
T02003,20,2025-11-04,242.34,USD
T02004,3,2025-11-04,494.66,USD
T02005,8,2025-11-04,413.87,ILS
T02006,11,2025-11-04,471.85,USD
T02007,6,2025-11-04,168.29,ILS
T02008,11,2025-11-04,257.51,EUR
T02009,7,2025-11-04,461.21,USD
T02010,14,2025-11-04,65.56,USD
T02011,19,2025-11-04,110.3,USD
T02012,7,2025-11-04,303.69,EUR
T02013,7,2025-11-04,431.43,USD
T02014,11,2025-11-04,308.09,USD
